InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Location,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply
INT0174,Public Health Outreach Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the healthcare sector. Good for first-time interns, this role focuses on simple, guided tasks.",Healthcare,Public Health,"Community Survey, Communication, Report Writing, Local Language",UG,"Gadchiroli, Maharashtra",Online,4 Months,"English, Marathi",8000/month,"Jupyter, Slack, Docker","Beginner Friendly, Government Scheme Aligned",Intermediate,04-10-25
INT0175,Public Health Outreach Intern,"Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback.",Healthcare,Public Health,"Community Survey, Communication, Report Writing, Local Language",UG,"Nanded, Maharashtra",Online,1 Month,"English, Marathi",10000/month,"Jupyter, Git, Zoom","Paid Internship, Remote Friendly",Advanced,10-01-26
INT0176,Clinical Research Intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Clinical Research Intern at AIIMS provides hands-on learning and mentorship.",Healthcare,Public Health,"Data Collection, Report Writing, Ethics Basics, Excel",Diploma,Kolkata,Online,5 Months,English,5000/month,"Trello, Power BI, AutoCAD","Beginner Friendly, Rural Outreach",Intermediate,01-12-25
INT0177,Clinical Research Intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the healthcare sector.,Healthcare,Public Health,"Data Collection, Report Writing, Ethics Basics, Excel",UG,Mumbai,Online,1 Month,English,15000/month,"VS Code, MATLAB, Git","Rural Outreach, Paid Internship",Advanced,11-02-26
INT0178,Clinical Research Intern,Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the healthcare sector.,Healthcare,Public Health,"Data Collection, Report Writing, Ethics Basics, Excel",Diploma,Lucknow,Offline,6 Months,English,10000/month,"AutoCAD, Jupyter, Docker","Women Preferred, Government Scheme Aligned",Beginner,05-02-26
INT0179,Agri Extension Intern,"Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the agriculture & allied sector.",Agriculture & Allied,Soil Testing,"Farm Surveys, Crop Monitoring, Report Writing, Local Language",Diploma,Guwahati,Online,2 Months,English,0/month,"Docker, JIRA, Trello","Rural Outreach, Beginner Friendly",Advanced,10-10-25
INT0180,Soil Testing Assistant Intern,Learn important skills and build a small project while working with the team. You will get support from a mentor and clear daily tasks to follow. This Soil Testing Assistant Intern at Krishi Vigyan Kendra provides hands-on learning and mentorship.,Agriculture & Allied,Soil Testing,"Sample Collection, Basic Lab Work, Data Recording, Excel",PG,Bhopal,Hybrid,6 Months,English,0/month,"VS Code, Slack, Tableau","Remote Friendly, Paid Internship",Beginner,28-01-26
INT0181,Agri Extension Intern,You will get support from a mentor and clear daily tasks to follow. This Agri Extension Intern at Krishi Vigyan Kendra provides hands-on learning and mentorship.,Agriculture & Allied,Soil Testing,"Farm Surveys, Crop Monitoring, Report Writing, Local Language",Diploma,Bhopal,Hybrid,5 Months,"English, Hindi",3000/month,"Docker, JIRA, Power BI","Women Preferred, Skill Development",Intermediate,17-02-26
INT0182,Agri Extension Intern,Tasks are structured and explained; no prior internship experience required. This Agri Extension Intern at ICAR provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the agriculture & allied sector.,Agriculture & Allied,Soil Testing,"Farm Surveys, Crop Monitoring, Report Writing, Local Language",UG,Ranchi,Offline,1 Month,English,15000/month,"Trello, MATLAB, Figma","Government Scheme Aligned, Remote Friendly",Beginner,30-11-25
INT0183,Agri Extension Intern,Work on small projects and learn practical tools used in the agriculture & allied sector. Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,Agriculture & Allied,Extension Services,"Farm Surveys, Crop Monitoring, Report Writing, Local Language",PG,"Kalahandi, Odisha",Hybrid,4 Months,"English, Odia",15000/month,"JIRA, Docker, MATLAB","Beginner Friendly, Government Scheme Aligned",Beginner,04-11-25
INT0184,Soil Testing Assistant Intern,Work on small projects and learn practical tools used in the agriculture & allied sector. Tasks are structured and explained; no prior internship experience required.,Agriculture & Allied,Extension Services,"Sample Collection, Basic Lab Work, Data Recording, Excel",Diploma,Hyderabad,Offline,6 Months,"English, Hindi",15000/month,"JIRA, Postman, Docker","Government Scheme Aligned, Beginner Friendly",Beginner,21-11-25
INT0185,Network Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.",Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,Lucknow,Online,4 Months,"English, Hindi",5000/month,"Docker, Zoom, Jupyter","Beginner Friendly, Women Preferred",Intermediate,17-12-25
INT0186,Network Operations Intern,"Work on small projects and learn practical tools used in the telecom / retail / misc sector. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,Network Ops,"Network Monitoring, Troubleshooting, Reports, Linux Basics",UG,"Palghar, Maharashtra",Offline,5 Months,"English, Marathi",0/month,"AutoCAD, Zoom, Figma","Rural Outreach, Remote Friendly",Advanced,24-01-26
INT0187,Network Operations Intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Tasks are structured and explained; no prior internship experience required.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",12th Pass,"Dantewada, Chhattisgarh",Online,2 Months,"English, Hindi",3000/month,"Postman, Trello, JIRA","Beginner Friendly, Government Scheme Aligned",Beginner,20-10-25
INT0188,Network Operations Intern,Field visits or remote tasks may be included depending on the project. Entry-level friendly role with practical exposure and regular feedback.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",PG,"Ukhrul, Manipur",Offline,1 Month,"English, Manipuri",0/month,"Docker, Git, VS Code","Skill Development, Women Preferred",Intermediate,05-02-26
INT0189,Network Operations Intern,This Network Operations Intern at Flipkart provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",Diploma,Chennai,Offline,2 Months,"English, Hindi",0/month,"Power BI, Postman, Figma","Paid Internship, Field Work",Beginner,14-01-26
INT0190,Network Operations Intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",12th Pass,"Ganjam, Odisha",Hybrid,2 Months,"English, Odia",15000/month,"Figma, Tableau, Git","Skill Development, Women Preferred",Intermediate,31-01-26
INT0191,E-commerce Operations Intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. Tasks are structured and explained; no prior internship experience required.,Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",12th Pass,Kolkata,Online,3 Months,English,0/month,"Figma, Docker, Tableau","Field Work, Skill Development",Beginner,29-11-25
INT0192,E-commerce Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team.",Telecom / Retail / Misc,E-commerce,"Order Management, Excel, Customer Service, Shopify/Figma basics",PG,"Bageshwar, Uttarakhand",Online,2 Months,"English, Hindi",10000/month,"Postman, Figma, Trello","Field Work, Skill Development",Advanced,14-11-25
INT0193,E-commerce Operations Intern,This E-commerce Operations Intern at Godrej provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,Telecom / Retail / Misc,E-commerce,"Order Management, Excel, Customer Service, Shopify/Figma basics",12th Pass,Chandigarh,Hybrid,2 Months,English,8000/month,"Tableau, Zoom, VS Code","Women Preferred, Remote Friendly",Beginner,29-11-25
INT0194,Network Operations Intern,Entry-level friendly role with practical exposure and regular feedback. This Network Operations Intern at Flipkart provides hands-on learning and mentorship.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",PG,Pune,Offline,6 Months,English,3000/month,"Figma, JIRA, Git","Remote Friendly, Beginner Friendly",Beginner,06-11-25
INT0195,E-commerce Operations Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.",Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",12th Pass,Kolkata,Online,6 Months,English,8000/month,"Figma, AutoCAD, Docker","Field Work, Beginner Friendly",Intermediate,21-02-26
INT0196,E-commerce Operations Intern,"Work on small projects and learn practical tools used in the telecom / retail / misc sector. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,Network Ops,"Order Management, Excel, Customer Service, Shopify/Figma basics",UG,Hyderabad,Hybrid,1 Month,English,15000/month,"Power BI, Trello, Postman","Remote Friendly, Beginner Friendly",Intermediate,06-03-26
INT0197,E-commerce Operations Intern,Work on small projects and learn practical tools used in the telecom / retail / misc sector. You will get support from a mentor and clear daily tasks to follow.,Telecom / Retail / Misc,E-commerce,"Order Management, Excel, Customer Service, Shopify/Figma basics",Diploma,"Sivaganga, Tamil Nadu",Online,6 Months,"English, Tamil",0/month,"Postman, MATLAB, AutoCAD","Field Work, Paid Internship",Beginner,23-11-25
INT0198,Network Operations Intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,Network Ops,"Network Monitoring, Troubleshooting, Reports, Linux Basics",12th Pass,Lucknow,Online,4 Months,"English, Hindi",8000/month,"Trello, JIRA, Tableau","Skill Development, Remote Friendly",Intermediate,25-02-26
INT0199,Network Operations Intern,Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback. This Network Operations Intern at Flipkart provides hands-on learning and mentorship.,Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",12th Pass,Hyderabad,Online,3 Months,English,3000/month,"Trello, VS Code, MATLAB","Beginner Friendly, Government Scheme Aligned",Advanced,24-10-25
INT0200,Network Operations Intern,"This Network Operations Intern at Godrej provides hands-on learning and mentorship. Good for first-time interns, this role focuses on simple, guided tasks.",Telecom / Retail / Misc,E-commerce,"Network Monitoring, Troubleshooting, Reports, Linux Basics",PG,Chennai,Offline,2 Months,English,3000/month,"Trello, MATLAB, Tableau","Government Scheme Aligned, Field Work",Beginner,30-11-25
INT0201,Renewable Energy Analyst Intern,"Field visits or remote tasks may be included depending on the project. Good for first-time interns, this role focuses on simple, guided tasks. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Bengaluru,Offline,6 Months,"English, Hindi",15000/month,"Figma, Jupyter, Docker","Women Preferred, Government Scheme Aligned",Beginner,19-01-26
INT0202,Renewable Energy Analyst Intern,You will get support from a mentor and clear daily tasks to follow. This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship.,"Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,Mumbai,Online,4 Months,"English, Hindi",10000/month,"Tableau, Zoom, Power BI","Rural Outreach, Paid Internship",Beginner,26-02-26
INT0203,Field Operations Intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,Guwahati,Hybrid,6 Months,English,15000/month,"AutoCAD, Git, Jupyter","Women Preferred, Skill Development",Intermediate,24-12-25
INT0204,Field Operations Intern,"This Field Operations Intern at ONGC provides hands-on learning and mentorship. Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,Hyderabad,Hybrid,5 Months,English,0/month,"Tableau, AutoCAD, Jupyter","Government Scheme Aligned, Paid Internship",Intermediate,01-01-26
INT0205,Renewable Energy Analyst Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Mumbai,Hybrid,3 Months,English,0/month,"MATLAB, Tableau, Trello","Women Preferred, Government Scheme Aligned",Beginner,01-10-25
INT0206,Renewable Energy Analyst Intern,Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Guwahati,Hybrid,4 Months,"English, Hindi",5000/month,"Postman, Trello, Jupyter","Remote Friendly, Women Preferred",Intermediate,12-01-26
INT0207,Process Engineering Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"Process Simulation, AutoCAD, MS Office, Data Analysis",PG,Kolkata,Online,2 Months,"English, Hindi",10000/month,"VS Code, Figma, Slack","Remote Friendly, Field Work",Beginner,16-12-25
INT0208,Field Operations Intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Patna,Online,1 Month,English,0/month,"Tableau, Power BI, Postman","Beginner Friendly, Government Scheme Aligned",Beginner,26-11-25
INT0209,Renewable Energy Analyst Intern,Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Chandigarh,Hybrid,5 Months,English,8000/month,"Slack, Trello, Figma","Beginner Friendly, Remote Friendly",Beginner,30-10-25
INT0210,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Process Engineering Intern at Adani Power provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.","Oil, Gas & Energy",Renewable Energy,"Process Simulation, AutoCAD, MS Office, Data Analysis",12th Pass,Pune,Online,1 Month,English,5000/month,"Docker, MATLAB, Zoom","Beginner Friendly, Paid Internship",Intermediate,06-11-25
INT0211,Field Operations Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Bhopal,Offline,6 Months,"English, Hindi",8000/month,"Docker, Zoom, MATLAB","Women Preferred, Skill Development",Beginner,18-01-26
INT0212,Process Engineering Intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",PG,Ranchi,Hybrid,1 Month,English,15000/month,"MATLAB, Jupyter, AutoCAD","Paid Internship, Beginner Friendly",Advanced,06-03-26
INT0213,Field Operations Intern,"Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Kolkata,Hybrid,3 Months,"English, Hindi",8000/month,"VS Code, Jupyter, JIRA","Field Work, Rural Outreach",Beginner,08-01-26
INT0214,Field Operations Intern,"You will get support from a mentor and clear daily tasks to follow. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,"Sivaganga, Tamil Nadu",Online,5 Months,"English, Tamil",5000/month,"Tableau, AutoCAD, Git","Rural Outreach, Women Preferred",Intermediate,09-11-25
INT0215,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Chandigarh,Offline,4 Months,English,8000/month,"Tableau, VS Code, Zoom","Beginner Friendly, Skill Development",Intermediate,01-01-26
INT0216,Field Operations Intern,This Field Operations Intern at Adani Power provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Hyderabad,Hybrid,6 Months,English,10000/month,"Trello, Git, Postman","Women Preferred, Field Work",Beginner,29-01-26
INT0217,Field Operations Intern,This Field Operations Intern at Indian Oil Corporation provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,Hyderabad,Offline,6 Months,English,0/month,"AutoCAD, Postman, Tableau","Skill Development, Paid Internship",Beginner,17-11-25
INT0218,Renewable Energy Analyst Intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",PG,"Dantewada, Chhattisgarh",Online,1 Month,"English, Hindi",15000/month,"JIRA, Slack, Postman","Beginner Friendly, Paid Internship",Beginner,03-10-25
INT0219,Process Engineering Intern,You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,"Gadchiroli, Maharashtra",Online,1 Month,"English, Marathi",0/month,"Zoom, Git, Jupyter","Paid Internship, Rural Outreach",Beginner,05-03-26
INT0220,Field Operations Intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Lucknow,Hybrid,3 Months,"English, Hindi",8000/month,"JIRA, Power BI, MATLAB","Paid Internship, Women Preferred",Beginner,02-02-26
INT0221,Process Engineering Intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required. This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Bengaluru,Online,4 Months,"English, Hindi",0/month,"Jupyter, Git, AutoCAD","Government Scheme Aligned, Field Work",Intermediate,12-02-26
INT0222,Field Operations Intern,This Field Operations Intern at NTPC provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Mumbai,Hybrid,5 Months,English,0/month,"AutoCAD, Jupyter, Trello","Remote Friendly, Field Work",Beginner,27-10-25
INT0223,Field Operations Intern,Learn important skills and build a small project while working with the team. This Field Operations Intern at NTPC provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Lucknow,Offline,6 Months,English,15000/month,"Jupyter, Git, Power BI","Remote Friendly, Women Preferred",Beginner,09-12-25
INT0224,Field Operations Intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. This Field Operations Intern at ONGC provides hands-on learning and mentorship.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Ranchi,Offline,3 Months,"English, Hindi",0/month,"JIRA, Git, MATLAB","Paid Internship, Government Scheme Aligned",Beginner,24-12-25
INT0225,Field Operations Intern,Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",PG,"Kalahandi, Odisha",Offline,4 Months,"English, Odia",8000/month,"Docker, VS Code, Slack","Government Scheme Aligned, Rural Outreach",Beginner,13-01-26
INT0226,Renewable Energy Analyst Intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Chandigarh,Hybrid,3 Months,"English, Hindi",15000/month,"Figma, Trello, Postman","Remote Friendly, Women Preferred",Intermediate,04-10-25
INT0227,Field Operations Intern,This Field Operations Intern at Adani Power provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Chennai,Offline,5 Months,"English, Hindi",0/month,"Zoom, AutoCAD, Slack","Field Work, Rural Outreach",Intermediate,03-10-25
INT0228,Renewable Energy Analyst Intern,"This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Power Systems,"Energy Modelling, Excel, Power Systems, MATLAB",UG,"Barmer, Rajasthan",Offline,2 Months,"English, Hindi",15000/month,"Slack, Git, AutoCAD","Beginner Friendly, Rural Outreach",Beginner,24-02-26
INT0229,Field Operations Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Ranchi,Online,3 Months,"English, Hindi",10000/month,"Docker, AutoCAD, JIRA","Beginner Friendly, Field Work",Advanced,01-03-26
INT0230,Field Operations Intern,You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",Diploma,Hyderabad,Online,6 Months,"English, Hindi",8000/month,"Power BI, MATLAB, Figma","Field Work, Rural Outreach",Intermediate,26-02-26
INT0231,Renewable Energy Analyst Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,Chandigarh,Hybrid,6 Months,"English, Hindi",0/month,"Trello, JIRA, Zoom","Rural Outreach, Beginner Friendly",Beginner,19-02-26
INT0232,Field Operations Intern,Learn important skills and build a small project while working with the team. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Mumbai,Online,4 Months,"English, Hindi",15000/month,"JIRA, Jupyter, Trello","Remote Friendly, Women Preferred",Beginner,23-12-25
INT0233,Process Engineering Intern,Entry-level friendly role with practical exposure and regular feedback. This Process Engineering Intern at ONGC provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Kolkata,Online,4 Months,English,8000/month,"Postman, Jupyter, Slack","Rural Outreach, Remote Friendly",Advanced,23-02-26
INT0234,Renewable Energy Analyst Intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. You will get support from a mentor and clear daily tasks to follow.","Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",PG,Patna,Offline,6 Months,English,15000/month,"Docker, Power BI, Trello","Field Work, Women Preferred",Beginner,24-10-25
INT0235,Field Operations Intern,Entry-level friendly role with practical exposure and regular feedback. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Renewable Energy,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",UG,Mumbai,Online,1 Month,English,8000/month,"Zoom, Slack, Trello","Women Preferred, Skill Development",Advanced,11-11-25
INT0236,Renewable Energy Analyst Intern,Field visits or remote tasks may be included depending on the project. This Renewable Energy Analyst Intern at Indian Oil Corporation provides hands-on learning and mentorship.,"Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,Delhi,Offline,3 Months,"English, Hindi",3000/month,"Docker, Trello, VS Code","Women Preferred, Government Scheme Aligned",Beginner,25-01-26
INT0237,Process Engineering Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",UG,Ranchi,Offline,2 Months,"English, Hindi",5000/month,"Slack, Zoom, Trello","Field Work, Women Preferred",Advanced,05-03-26
INT0238,Process Engineering Intern,This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"Process Simulation, AutoCAD, MS Office, Data Analysis",Diploma,"Barmer, Rajasthan",Offline,5 Months,"English, Hindi",10000/month,"Postman, Git, Power BI","Rural Outreach, Field Work",Beginner,20-01-26
INT0239,Renewable Energy Analyst Intern,Learn important skills and build a small project while working with the team. This Renewable Energy Analyst Intern at Tata Power provides hands-on learning and mentorship.,"Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Delhi,Offline,4 Months,English,10000/month,"VS Code, Postman, Power BI","Women Preferred, Government Scheme Aligned",Beginner,15-11-25
INT0240,Renewable Energy Analyst Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",Diploma,"Bageshwar, Uttarakhand",Offline,5 Months,"English, Hindi",0/month,"Docker, JIRA, Git","Field Work, Remote Friendly",Intermediate,01-10-25
INT0241,Field Operations Intern,Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Power Systems,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,"Ganjam, Odisha",Hybrid,4 Months,"English, Odia",3000/month,"Git, Jupyter, Slack","Field Work, Skill Development",Intermediate,25-01-26
INT0242,Renewable Energy Analyst Intern,Field visits or remote tasks may be included depending on the project. This Renewable Energy Analyst Intern at NTPC provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"Energy Modelling, Excel, Power Systems, MATLAB",12th Pass,Chandigarh,Offline,5 Months,English,3000/month,"Zoom, Trello, Figma","Skill Development, Remote Friendly",Intermediate,24-01-26
INT0243,Renewable Energy Analyst Intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Renewable Energy,"Energy Modelling, Excel, Power Systems, MATLAB",UG,Kolkata,Offline,4 Months,English,0/month,"Power BI, VS Code, MATLAB","Field Work, Paid Internship",Beginner,07-10-25
INT0244,Field Operations Intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Pipeline Operations,"Safety Protocols, Field Survey, Report Writing, Measurement Tools",12th Pass,Delhi,Hybrid,2 Months,"English, Hindi",15000/month,"MATLAB, Slack, Zoom","Beginner Friendly, Paid Internship",Beginner,18-12-25
