InternshipID,Title,Description,Sector,Subsector,RequiredSkills,EducationLevel,Mode,Duration,Language,Stipend,ToolsUsed,Tags,ExperienceLevel,LastDateToApply,City,State
INT0217,field operations intern,This Field Operations Intern at Indian Oil Corporation provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Pg,Offline,6 Months,English,0/month,"autocad, postman, tableau","skill development, paid internship",Beginner,17-11-25,Hyderabad,unknown
INT0218,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Pg,Online,1 Month,"English, Hindi",15000/month,"jira, slack, postman","beginner friendly, paid internship",Beginner,03-10-25,Dantewada,Chhattisgarh
INT0219,process engineering intern,You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Diploma,Online,1 Month,"English, Marathi",0/month,"zoom, git, jupyter","paid internship, rural outreach",Beginner,05-03-26,Gadchiroli,Maharashtra
INT0220,field operations intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.","Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Hybrid,3 Months,"English, Hindi",8000/month,"jira, power bi, matlab","paid internship, women preferred",Beginner,02-02-26,Lucknow,unknown
INT0221,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required. This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship.","Oil, Gas & Energy",Renewable Energy,"process simulation, autocad, ms office, data analysis",Ug,Online,4 Months,"English, Hindi",0/month,"jupyter, git, autocad","government scheme aligned, field work",Intermediate,12-02-26,Bengaluru,unknown
INT0222,field operations intern,This Field Operations Intern at NTPC provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Hybrid,5 Months,English,0/month,"autocad, jupyter, trello","remote friendly, field work",Beginner,27-10-25,Mumbai,unknown
INT0223,field operations intern,Learn important skills and build a small project while working with the team. This Field Operations Intern at NTPC provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Diploma,Offline,6 Months,English,15000/month,"jupyter, git, power bi","remote friendly, women preferred",Beginner,09-12-25,Lucknow,unknown
INT0224,field operations intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. This Field Operations Intern at ONGC provides hands-on learning and mentorship.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Offline,3 Months,"English, Hindi",0/month,"jira, git, matlab","paid internship, government scheme aligned",Beginner,24-12-25,Ranchi,unknown
INT0225,field operations intern,Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Pg,Offline,4 Months,"English, Odia",8000/month,"docker, vs code, slack","government scheme aligned, rural outreach",Beginner,13-01-26,Kalahandi,Odisha
INT0226,renewable energy analyst intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector.","Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Ug,Hybrid,3 Months,"English, Hindi",15000/month,"figma, trello, postman","remote friendly, women preferred",Intermediate,04-10-25,Chandigarh,unknown
INT0227,field operations intern,This Field Operations Intern at Adani Power provides hands-on learning and mentorship. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",Ug,Offline,5 Months,"English, Hindi",0/month,"zoom, autocad, slack","field work, rural outreach",Intermediate,03-10-25,Chennai,unknown
INT0228,renewable energy analyst intern,"This Renewable Energy Analyst Intern at ONGC provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Power Systems,"energy modelling, excel, power systems, matlab",Ug,Offline,2 Months,"English, Hindi",15000/month,"slack, git, autocad","beginner friendly, rural outreach",Beginner,24-02-26,Barmer,Rajasthan
INT0229,field operations intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Online,3 Months,"English, Hindi",10000/month,"docker, autocad, jira","beginner friendly, field work",Advanced,01-03-26,Ranchi,unknown
INT0230,field operations intern,You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Diploma,Online,6 Months,"English, Hindi",8000/month,"power bi, matlab, figma","field work, rural outreach",Intermediate,26-02-26,Hyderabad,unknown
INT0231,renewable energy analyst intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Diploma,Hybrid,6 Months,"English, Hindi",0/month,"trello, jira, zoom","rural outreach, beginner friendly",Beginner,19-02-26,Chandigarh,unknown
INT0232,field operations intern,Learn important skills and build a small project while working with the team. This Field Operations Intern at Reliance Industries provides hands-on learning and mentorship.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Ug,Online,4 Months,"English, Hindi",15000/month,"jira, jupyter, trello","remote friendly, women preferred",Beginner,23-12-25,Mumbai,unknown
INT0233,process engineering intern,Entry-level friendly role with practical exposure and regular feedback. This Process Engineering Intern at ONGC provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Renewable Energy,"process simulation, autocad, ms office, data analysis",Ug,Online,4 Months,English,8000/month,"postman, jupyter, slack","rural outreach, remote friendly",Advanced,23-02-26,Kolkata,unknown
INT0234,renewable energy analyst intern,"Learn important skills and build a small project while working with the team. Work on small projects and learn practical tools used in the oil, gas & energy sector. You will get support from a mentor and clear daily tasks to follow.","Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Pg,Offline,6 Months,English,15000/month,"docker, power bi, trello","field work, women preferred",Beginner,24-10-25,Patna,unknown
INT0235,field operations intern,Entry-level friendly role with practical exposure and regular feedback. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Ug,Online,1 Month,English,8000/month,"zoom, slack, trello","women preferred, skill development",Advanced,11-11-25,Mumbai,unknown
INT0236,renewable energy analyst intern,Field visits or remote tasks may be included depending on the project. This Renewable Energy Analyst Intern at Indian Oil Corporation provides hands-on learning and mentorship.,"Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",Diploma,Offline,3 Months,"English, Hindi",3000/month,"docker, trello, vs code","women preferred, government scheme aligned",Beginner,25-01-26,Delhi,unknown
INT0237,process engineering intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. You will get support from a mentor and clear daily tasks to follow. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Ug,Offline,2 Months,"English, Hindi",5000/month,"slack, zoom, trello","field work, women preferred",Advanced,05-03-26,Ranchi,unknown
INT0238,process engineering intern,This Process Engineering Intern at Reliance Industries provides hands-on learning and mentorship. Learn important skills and build a small project while working with the team.,"Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Diploma,Offline,5 Months,"English, Hindi",10000/month,"postman, git, power bi","rural outreach, field work",Beginner,20-01-26,Barmer,Rajasthan
INT0239,renewable energy analyst intern,Learn important skills and build a small project while working with the team. This Renewable Energy Analyst Intern at Tata Power provides hands-on learning and mentorship.,"Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",12Th Pass,Offline,4 Months,English,10000/month,"vs code, postman, power bi","women preferred, government scheme aligned",Beginner,15-11-25,Delhi,unknown
INT0240,renewable energy analyst intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Diploma,Offline,5 Months,"English, Hindi",0/month,"docker, jira, git","field work, remote friendly",Intermediate,01-10-25,Bageshwar,Uttarakhand
INT0241,field operations intern,Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Hybrid,4 Months,"English, Odia",3000/month,"git, jupyter, slack","field work, skill development",Intermediate,25-01-26,Ganjam,Odisha
INT0242,renewable energy analyst intern,Field visits or remote tasks may be included depending on the project. This Renewable Energy Analyst Intern at NTPC provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback.,"Oil, Gas & Energy",Pipeline Operations,"energy modelling, excel, power systems, matlab",12Th Pass,Offline,5 Months,English,3000/month,"zoom, trello, figma","skill development, remote friendly",Intermediate,24-01-26,Chandigarh,unknown
INT0243,renewable energy analyst intern,"Work on small projects and learn practical tools used in the oil, gas & energy sector. Field visits or remote tasks may be included depending on the project.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Ug,Offline,4 Months,English,0/month,"power bi, vs code, matlab","field work, paid internship",Beginner,07-10-25,Kolkata,unknown
INT0244,field operations intern,"Entry-level friendly role with practical exposure and regular feedback. Work on small projects and learn practical tools used in the oil, gas & energy sector. Tasks are structured and explained; no prior internship experience required.","Oil, Gas & Energy",Pipeline Operations,"safety protocols, field survey, report writing, measurement tools",12Th Pass,Hybrid,2 Months,"English, Hindi",15000/month,"matlab, slack, zoom","beginner friendly, paid internship",Beginner,18-12-25,Delhi,unknown
INT0245,process engineering intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"process simulation, autocad, ms office, data analysis",Pg,Offline,1 Month,English,0/month,"zoom, docker, jupyter","remote friendly, rural outreach",Beginner,24-11-25,Hyderabad,unknown
INT0246,process engineering intern,Entry-level friendly role with practical exposure and regular feedback. You will get support from a mentor and clear daily tasks to follow.,"Oil, Gas & Energy",Power Systems,"process simulation, autocad, ms office, data analysis",Ug,Hybrid,4 Months,English,15000/month,"docker, zoom, power bi","beginner friendly, field work",Beginner,04-11-25,Chandigarh,unknown
INT0247,field operations intern,Learn important skills and build a small project while working with the team. This Field Operations Intern at ONGC provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required.,"Oil, Gas & Energy",Power Systems,"safety protocols, field survey, report writing, measurement tools",Ug,Hybrid,2 Months,English,8000/month,"docker, zoom, tableau","field work, skill development",Intermediate,19-01-26,Chandigarh,unknown
INT0248,process engineering intern,"Good for first-time interns, this role focuses on simple, guided tasks. This Process Engineering Intern at Tata Power provides hands-on learning and mentorship.","Oil, Gas & Energy",Pipeline Operations,"process simulation, autocad, ms office, data analysis",Ug,Hybrid,5 Months,"English, Hindi",0/month,"jupyter, git, vs code","government scheme aligned, paid internship",Advanced,28-12-25,Bhopal,unknown
INT0249,field operations intern,This Field Operations Intern at NTPC provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,"Oil, Gas & Energy",Renewable Energy,"safety protocols, field survey, report writing, measurement tools",Pg,Hybrid,1 Month,English,3000/month,"docker, jira, trello","rural outreach, skill development",Advanced,13-11-25,Raipur,unknown
INT0250,renewable energy analyst intern,"Good for first-time interns, this role focuses on simple, guided tasks. Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.","Oil, Gas & Energy",Renewable Energy,"energy modelling, excel, power systems, matlab",Diploma,Offline,5 Months,English,3000/month,"matlab, tableau, vs code","beginner friendly, skill development",Beginner,26-02-26,Guwahati,unknown
INT0251,credit analysis intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Online,1 Month,"English, Hindi",0/month,"power bi, figma, jupyter","women preferred, beginner friendly",Beginner,22-10-25,Ranchi,unknown
INT0252,fintech product intern,"Good for first-time interns, this role focuses on simple, guided tasks. This FinTech Product Intern at ICICI Bank provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required.",Banking & Financial Services,Retail Banking,"product research, sql, wireframing, jira",Ug,Online,1 Month,"English, Manipuri",10000/month,"docker, vs code, git","government scheme aligned, field work",Beginner,10-02-26,Ukhrul,Manipur
INT0253,fintech product intern,Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Pg,Hybrid,6 Months,English,10000/month,"slack, trello, figma","beginner friendly, skill development",Beginner,28-01-26,Guwahati,unknown
INT0254,credit analysis intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Pg,Online,4 Months,English,5000/month,"git, jupyter, docker","government scheme aligned, rural outreach",Intermediate,25-01-26,Kolkata,unknown
INT0255,credit analysis intern,"Good for first-time interns, this role focuses on simple, guided tasks. Learn important skills and build a small project while working with the team.",Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Pg,Online,5 Months,"English, Hindi",5000/month,"power bi, figma, autocad","remote friendly, rural outreach",Beginner,14-12-25,Chennai,unknown
INT0256,risk analytics intern,Tasks are structured and explained; no prior internship experience required. This Risk Analytics Intern at Axis Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Pg,Hybrid,1 Month,"English, Hindi",8000/month,"jupyter, slack, git","beginner friendly, government scheme aligned",Beginner,20-02-26,Lucknow,unknown
INT0257,credit analysis intern,Learn important skills and build a small project while working with the team. This Credit Analysis Intern at ICICI Bank provides hands-on learning and mentorship.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",12Th Pass,Offline,3 Months,English,0/month,"autocad, slack, git","women preferred, rural outreach",Beginner,13-12-25,Bhopal,unknown
INT0258,credit analysis intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",Diploma,Hybrid,4 Months,"English, Marathi",8000/month,"power bi, zoom, jira","women preferred, remote friendly",Intermediate,05-03-26,Gadchiroli,Maharashtra
INT0259,credit analysis intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. This Credit Analysis Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",12Th Pass,Online,4 Months,English,8000/month,"tableau, jira, jupyter","skill development, remote friendly",Beginner,17-12-25,Pune,unknown
INT0260,fintech product intern,Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Ug,Hybrid,1 Month,"English, Hindi",5000/month,"docker, trello, matlab","rural outreach, women preferred",Intermediate,02-12-25,Hyderabad,unknown
INT0261,credit analysis intern,This Credit Analysis Intern at Axis Bank provides hands-on learning and mentorship. Tasks are structured and explained; no prior internship experience required.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Ug,Offline,5 Months,"English, Hindi",5000/month,"docker, jira, jupyter","government scheme aligned, women preferred",Intermediate,31-01-26,Guwahati,unknown
INT0262,credit analysis intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Diploma,Offline,4 Months,English,5000/month,"matlab, jupyter, autocad","paid internship, field work",Beginner,26-01-26,Guwahati,unknown
INT0263,fintech product intern,Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Pg,Offline,3 Months,"English, Hindi",3000/month,"zoom, git, jupyter","beginner friendly, remote friendly",Advanced,14-02-26,Mumbai,unknown
INT0264,credit analysis intern,Learn important skills and build a small project while working with the team. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,FinTech,"accounting, financial statement analysis, excel, communication",Pg,Online,6 Months,"English, Hindi",5000/month,"vs code, figma, zoom","rural outreach, women preferred",Beginner,01-01-26,Raipur,unknown
INT0265,credit analysis intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Diploma,Hybrid,2 Months,English,15000/month,"jira, matlab, trello","field work, skill development",Beginner,06-10-25,Raipur,unknown
INT0266,risk analytics intern,You will get support from a mentor and clear daily tasks to follow. Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Ug,Hybrid,2 Months,"English, Odia",8000/month,"power bi, zoom, postman","field work, beginner friendly",Intermediate,21-02-26,Kalahandi,Odisha
INT0267,fintech product intern,"Entry-level friendly role with practical exposure and regular feedback. Good for first-time interns, this role focuses on simple, guided tasks. This FinTech Product Intern at Axis Bank provides hands-on learning and mentorship.",Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",12Th Pass,Offline,5 Months,"English, Hindi",15000/month,"tableau, postman, docker","skill development, paid internship",Beginner,21-12-25,Dantewada,Chhattisgarh
INT0268,fintech product intern,Entry-level friendly role with practical exposure and regular feedback. Tasks are structured and explained; no prior internship experience required. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,Retail Banking,"product research, sql, wireframing, jira",Ug,Offline,1 Month,"English, Marathi",15000/month,"matlab, trello, git","field work, rural outreach",Beginner,03-10-25,Gadchiroli,Maharashtra
INT0269,risk analytics intern,This Risk Analytics Intern at ICICI Bank provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the banking & financial services sector. Tasks are structured and explained; no prior internship experience required.,Banking & Financial Services,Retail Banking,"excel, financial modelling, sql, power bi",Diploma,Offline,4 Months,"English, Hindi",15000/month,"autocad, matlab, vs code","government scheme aligned, skill development",Beginner,08-01-26,Bhopal,unknown
INT0270,fintech product intern,Tasks are structured and explained; no prior internship experience required. Learn important skills and build a small project while working with the team.,Banking & Financial Services,Risk,"product research, sql, wireframing, jira",Ug,Online,1 Month,"English, Manipuri",15000/month,"git, jira, figma","government scheme aligned, paid internship",Beginner,24-02-26,Ukhrul,Manipur
INT0271,credit analysis intern,Work on small projects and learn practical tools used in the banking & financial services sector. Field visits or remote tasks may be included depending on the project. Tasks are structured and explained; no prior internship experience required.,Banking & Financial Services,Risk,"accounting, financial statement analysis, excel, communication",Ug,Hybrid,1 Month,"English, Hindi",15000/month,"postman, tableau, autocad","field work, women preferred",Intermediate,25-02-26,Ranchi,unknown
INT0272,risk analytics intern,"Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.",Banking & Financial Services,FinTech,"excel, financial modelling, sql, power bi",Ug,Hybrid,3 Months,English,10000/month,"zoom, jupyter, trello","field work, government scheme aligned",Beginner,20-01-26,Hyderabad,unknown
INT0273,credit analysis intern,Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Offline,6 Months,"English, Marathi",3000/month,"zoom, power bi, docker","government scheme aligned, skill development",Intermediate,22-11-25,Palghar,Maharashtra
INT0274,fintech product intern,"This FinTech Product Intern at Kotak Mahindra Bank provides hands-on learning and mentorship. Good for first-time interns, this role focuses on simple, guided tasks.",Banking & Financial Services,Risk,"product research, sql, wireframing, jira",Pg,Hybrid,6 Months,English,10000/month,"figma, docker, vs code","rural outreach, beginner friendly",Intermediate,16-10-25,Chennai,unknown
INT0275,risk analytics intern,You will get support from a mentor and clear daily tasks to follow. This Risk Analytics Intern at State Bank of India provides hands-on learning and mentorship.,Banking & Financial Services,FinTech,"excel, financial modelling, sql, power bi",Pg,Online,4 Months,"English, Marathi",3000/month,"power bi, autocad, jira","women preferred, rural outreach",Intermediate,07-11-25,Palghar,Maharashtra
INT0276,credit analysis intern,Work on small projects and learn practical tools used in the banking & financial services sector. Learn important skills and build a small project while working with the team.,Banking & Financial Services,Retail Banking,"accounting, financial statement analysis, excel, communication",Ug,Offline,5 Months,"English, Hindi",15000/month,"autocad, zoom, postman","beginner friendly, field work",Beginner,02-11-25,Patna,unknown
INT0277,risk analytics intern,Work on small projects and learn practical tools used in the banking & financial services sector. Tasks are structured and explained; no prior internship experience required.,Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Pg,Online,6 Months,"English, Odia",3000/month,"autocad, git, vs code","remote friendly, women preferred",Beginner,15-11-25,Kalahandi,Odisha
INT0278,fintech product intern,Field visits or remote tasks may be included depending on the project. Learn important skills and build a small project while working with the team.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Diploma,Online,5 Months,"English, Hindi",10000/month,"slack, trello, zoom","rural outreach, remote friendly",Beginner,24-01-26,Guwahati,unknown
INT0279,risk analytics intern,"Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required. Entry-level friendly role with practical exposure and regular feedback.",Banking & Financial Services,Risk,"excel, financial modelling, sql, power bi",Diploma,Offline,4 Months,"English, Odia",0/month,"matlab, power bi, tableau","remote friendly, field work",Advanced,11-11-25,Nabarangpur,Odisha
INT0280,fintech product intern,Learn important skills and build a small project while working with the team. Field visits or remote tasks may be included depending on the project.,Banking & Financial Services,FinTech,"product research, sql, wireframing, jira",Ug,Hybrid,6 Months,"English, Hindi",10000/month,"matlab, docker, jira","beginner friendly, paid internship",Advanced,19-02-26,Dantewada,Chhattisgarh
INT0281,quality assurance intern,Tasks are structured and explained; no prior internship experience required. You will get support from a mentor and clear daily tasks to follow. Learn important skills and build a small project while working with the team.,Automotive,Vehicle Dynamics,"inspection protocols, excel, six sigma basics, reporting",Pg,Hybrid,4 Months,"English, Tamil",5000/month,"figma, postman, zoom","women preferred, rural outreach",Beginner,05-12-25,Sivaganga,Tamil Nadu
INT0282,embedded systems intern,Entry-level friendly role with practical exposure and regular feedback. Field visits or remote tasks may be included depending on the project. Work on small projects and learn practical tools used in the automotive sector.,Automotive,Embedded Systems,"c/c++, microcontrollers, pcb basics, git",12Th Pass,Online,2 Months,"English, Hindi",15000/month,"autocad, slack, git","women preferred, beginner friendly",Beginner,07-11-25,Dantewada,Chhattisgarh
INT0283,embedded systems intern,"You will get support from a mentor and clear daily tasks to follow. Good for first-time interns, this role focuses on simple, guided tasks.",Automotive,Embedded Systems,"c/c++, microcontrollers, pcb basics, git",Diploma,Offline,3 Months,"English, Hindi",10000/month,"trello, figma, postman","rural outreach, women preferred",Beginner,24-10-25,Chandigarh,unknown
INT0284,embedded systems intern,Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,Automotive,Embedded Systems,"c/c++, microcontrollers, pcb basics, git",Diploma,Online,4 Months,English,10000/month,"docker, jira, jupyter","skill development, government scheme aligned",Beginner,30-10-25,Guwahati,unknown
INT0285,embedded systems intern,"Entry-level friendly role with practical exposure and regular feedback. Good for first-time interns, this role focuses on simple, guided tasks. Tasks are structured and explained; no prior internship experience required.",Automotive,Quality Assurance,"c/c++, microcontrollers, pcb basics, git",Diploma,Online,1 Month,"English, Hindi",5000/month,"autocad, trello, vs code","women preferred, beginner friendly",Intermediate,07-02-26,Ranchi,unknown
INT0286,embedded systems intern,"Tasks are structured and explained; no prior internship experience required. Work on small projects and learn practical tools used in the automotive sector. Good for first-time interns, this role focuses on simple, guided tasks.",Automotive,Vehicle Dynamics,"c/c++, microcontrollers, pcb basics, git",Diploma,Hybrid,4 Months,English,3000/month,"jupyter, git, postman","field work, skill development",Beginner,21-11-25,Jaipur,unknown
INT0287,vehicle dynamics intern,Work on small projects and learn practical tools used in the automotive sector. This Vehicle Dynamics Intern at Mahindra & Mahindra provides hands-on learning and mentorship.,Automotive,Embedded Systems,"matlab, simulink, data analysis, cad",Pg,Online,1 Month,English,15000/month,"figma, trello, slack","government scheme aligned, rural outreach",Beginner,16-11-25,Patna,unknown
INT0288,embedded systems intern,This Embedded Systems Intern at Mahindra & Mahindra provides hands-on learning and mentorship. Field visits or remote tasks may be included depending on the project. You will get support from a mentor and clear daily tasks to follow.,Automotive,Embedded Systems,"c/c++, microcontrollers, pcb basics, git",Diploma,Offline,5 Months,"English, Hindi",3000/month,"postman, figma, tableau","beginner friendly, remote friendly",Advanced,31-12-25,Bageshwar,Uttarakhand
INT0289,embedded systems intern,"Entry-level friendly role with practical exposure and regular feedback. Good for first-time interns, this role focuses on simple, guided tasks.",Automotive,Quality Assurance,"c/c++, microcontrollers, pcb basics, git",Ug,Hybrid,4 Months,"English, Hindi",3000/month,"slack, docker, power bi","government scheme aligned, field work",Beginner,22-01-26,Chennai,unknown
INT0290,embedded systems intern,Learn important skills and build a small project while working with the team. Entry-level friendly role with practical exposure and regular feedback. This Embedded Systems Intern at Maruti Suzuki provides hands-on learning and mentorship.,Automotive,Embedded Systems,"c/c++, microcontrollers, pcb basics, git",12Th Pass,Online,5 Months,"English, Marathi",5000/month,"postman, trello, autocad","remote friendly, field work",Beginner,01-03-26,Gadchiroli,Maharashtra
INT0291,embedded systems intern,Work on small projects and learn practical tools used in the automotive sector. Entry-level friendly role with practical exposure and regular feedback.,Automotive,Quality Assurance,"c/c++, microcontrollers, pcb basics, git",Pg,Hybrid,6 Months,"English, Hindi",8000/month,"docker, trello, matlab","paid internship, rural outreach",Intermediate,10-10-25,Bengaluru,unknown
INT0292,vehicle dynamics intern,This Vehicle Dynamics Intern at Mahindra & Mahindra provides hands-on learning and mentorship. Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,Automotive,Quality Assurance,"matlab, simulink, data analysis, cad",Diploma,Hybrid,1 Month,"English, Hindi",10000/month,"tableau, slack, figma","skill development, government scheme aligned",Intermediate,25-02-26,Bageshwar,Uttarakhand
INT0293,vehicle dynamics intern,You will get support from a mentor and clear daily tasks to follow. This Vehicle Dynamics Intern at Bajaj Auto provides hands-on learning and mentorship. Work on small projects and learn practical tools used in the automotive sector.,Automotive,Embedded Systems,"matlab, simulink, data analysis, cad",Ug,Offline,6 Months,"English, Odia",5000/month,"jira, figma, power bi","rural outreach, field work",Advanced,24-12-25,Kalahandi,Odisha
INT0294,vehicle dynamics intern,"Good for first-time interns, this role focuses on simple, guided tasks. You will get support from a mentor and clear daily tasks to follow.",Automotive,Vehicle Dynamics,"matlab, simulink, data analysis, cad",Diploma,Hybrid,1 Month,English,15000/month,"slack, autocad, git","rural outreach, paid internship",Intermediate,25-11-25,Delhi,unknown
INT0295,quality assurance intern,Entry-level friendly role with practical exposure and regular feedback. Learn important skills and build a small project while working with the team.,Automotive,Embedded Systems,"inspection protocols, excel, six sigma basics, reporting",Diploma,Online,6 Months,English,10000/month,"slack, trello, postman","skill development, government scheme aligned",Beginner,26-10-25,Chandigarh,unknown
